Designator,Footprint,Quantity,Value,LCSC Part #
"F1, F2, F3",Fuse_Littelfuse_395Series,3,Fuse,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MH,
J1,TerminalBlock_bornier-4_P5.08mm,1,AC Terminal,
J6,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,RELAY/FAN Header,
K1,RELAY_G3MB-202PDC5,1,Power Relay,
K2,RELAY_G3MB-202PDC5,1,Auger Relay,
K3,RELAY_G3MB-202PDC5,1,Igniter Relay,
K4,RELAY_G3MB-202PDC5,1,Fan Relay,
"Q1, Q2, Q3, Q4",TO-92L_Inline,4,BC547,
"R1, R3, R5, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,470,
"R2, R4, R6, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,10K,
