Designator,Mid X,Mid Y,Rotation,Layer
F1,75.755,-44.25,90.0,top
F2,75.755,-53.46,90.0,top
F3,65.46,-29.245,180.0,top
J1,86.0,-47.88,90.0,top
J6,28.0,-47.5,90.0,top
K1,58.5,-68.25,180.0,top
K2,58.5,-47.75,180.0,top
K3,58.5,-58.0,180.0,top
K4,58.5,-37.0,180.0,top
Q1,42.3325,-46.02,90.0,top
Q2,42.3325,-56.23,90.0,top
Q3,42.3325,-35.23,90.0,top
Q4,42.3325,-66.5825,90.0,top
R1,35.75,-44.5,270.0,top
R2,42.25,-41.25,0.0,top
R3,35.75,-55.19,270.0,top
R4,42.25,-51.75,0.0,top
R5,35.75,-34.0,270.0,top
R6,42.25,-30.75,0.0,top
R7,35.75,-65.0825,270.0,top
R8,42.25,-61.8325,0.0,top
